comment,sentiment,videoId
"If you see comments here about investing or brokers, they are scams.  Videos about cryptocurrencies, evidently including ones that are just about the underlying technology/math, are hotbeds for attracting nefarious actors preying on the impressionable.

Also, hi!  If you’re new to this channel, most of it is about visualizing math. I get it, you probably landed here searching for how BTC works, not to spend your afternoon getting pulled into learning about, say, prime numbers or problem-solving, but if you have a moment take a look at the rest of the channel, you may enjoy what you find.",Positive,bBC-nXj3Ng4
Thank you soo much,Neutral,bBC-nXj3Ng4
"A laudable explanation of bitcoin, even if those who hawk its virtues as a remedy for our crumbling economies are exactly the kind of people (i.e. the ruling elites and capitalists) who are the cause of such problems.",Positive,bBC-nXj3Ng4
2:30 ledger 帳本 Digital signatures 電子簽名,Neutral,bBC-nXj3Ng4
"0.001 BTC transaction fee looks funny in 2022, as well as 50 BTC reward for one block",Neutral,bBC-nXj3Ng4
"Bitcoin was founded in 2009 by a pseudonymous person or group called Satoshi Nakamoto.
Bitcoin has no central authority that controls it.
The maximum amount of Bitcoin is 21 million. 
The subdivided unit of Bitcoin is called Satoshi.
Bitcoin is legal in most countries.
Bitcoin can be exchanged for other currencies and products.",Neutral,bBC-nXj3Ng4
"If I accidentally add my block to a shorter chain, are all my computations in vain?",Neutral,bBC-nXj3Ng4
why so hard,Negative,bBC-nXj3Ng4
Too good,Positive,bBC-nXj3Ng4
"20:05 so what keeps Alice from making a fraudulent transaction, and broadcasting it to everyone not just Bob? If she broadcasts it to everyone, she doesn't have to mine.",Neutral,bBC-nXj3Ng4
"So to clarify, there are two measures of security:
1. The digital signatures using secret / public keys: This authenticates transactions and doesn't allow people to change transactions after it has been signed, because the message and secret key make the signature. I.e. it lets me know that no one is stealing money from me.
2. The hash for the block of transactions: After making sure each transaction is valid with a signature, we want everyone else in the world to know the valid transaction happens. I.e. that the money is transferred and people know person A now has 10 LD from person B.

Together these two provide the following: Makes sure every transaction on the block is true (1). Makes sure everyone knows all the true transactions (2).

If (1) fails, then you can make fake transactions. If (2) fails, then even if you have real transactions no one will believe you.

Is this line of thinking correct?",Neutral,bBC-nXj3Ng4
"THE BEST EXPLANATION! 

A melhor explicação sobre BTC que eu ja vi.",Positive,bBC-nXj3Ng4
