videoId,title,publishTime,viewCount,commentCount
ldxFjLJ3rVY,This picture broke my brain,2026-03-22T12:59:00Z,713161,2124
Qoes9bTJtn0,Bacteria Grid Puzzle Solution,2026-03-21T11:42:53Z,770585,391
fsLh-NYhOoU,Переводы на русский язык,2026-03-09T19:48:23Z,859455,2039
d0ai33oqqDE,Hindi Audio Translations,2026-03-09T19:05:27Z,796395,844
7gG91SZwBoE,Traductions françaises,2026-03-09T19:02:41Z,917269,522
BHdbsHFs2P0,The most beautiful formula not enough people understand,2026-02-27T15:14:23Z,2510583,3510
t3jZ2xGOvYg,The lattice bacteria puzzle,2026-02-18T06:02:59Z,729620,1170
FE-hM1kRK4Y,Solution to the ladybug clock puzzle,2026-02-16T14:08:37Z,660286,861
bnjKwiUg-kw,The Hairy Ball Theorem,2026-01-31T14:57:42Z,1180508,473
j0wJBEZdwLs,The ladybug clock puzzle,2026-01-16T14:16:12Z,1396031,1638
-j8PzkZ70Lg,Why Laplace transforms are so useful,2025-11-05T13:09:45Z,923005,1291
M-MgQC6z3VU,The dynamics of e^(πi),2025-10-12T12:40:46Z,706986,1365
1lZpowy21Gc,But what is a Laplace Transform?,2025-10-12T11:19:53Z,232601,92
_BrFKp-U8GI,The Physics of Euler&#39;s Formula | Laplace Transform Prelude,2025-10-05T13:53:28Z,471945,1012
j5h9dBtWZXM,What was Euclid really doing? | Guest video by Ben Syversen,2025-09-18T14:13:05Z,105428,42
4NlrfOl0l8U,Incomplete open cubes,2025-09-07T12:25:58Z,391534,971
iv-5mZ_9CPY,Exploration &amp; Epiphany | Guest video by Paul Dancstep,2025-09-07T12:25:03Z,1723833,1890
Dlsa9EBKDGI,How AI connects text and images,2025-08-21T18:24:11Z,623060,1931
RQWpF2Gb-gU,The AI that solved IMO Geometry Problems | Guest video by @Aleph0,2025-08-17T13:02:50Z,3231060,3550
XX8mjBXBqz8,But how do AI images and videos actually work? | Guest video by Welch Labs,2025-07-25T12:14:11Z,1374440,422
aQwEJKWATlE,Where my explanation of Grover’s algorithm failed,2025-05-04T11:45:24Z,180668,53
aw-8BhCilj0,But what is quantum computing?  (Grover&#39;s Algorithm),2025-04-30T12:32:19Z,412471,241
