videoId,title,publishTime,viewCount,commentCount
F_0yfvm0UoU,"e to the pi i, a nontraditional take (old version)",2015-03-05 06:15:22+00:00,2751268,2202
zLzLxVeqdQg,Euler&#39;s Formula Poem,2015-03-05 06:15:23+00:00,180135,162
-9OUyo8NFZg,Euler&#39;s Formula and Graph Duality,2015-06-21 06:05:43+00:00,518507,385
XFDM1ip5HdU,What does it feel like to invent math?,2015-08-14 01:20:50+00:00,4512692,6109
1SMmc9gQmHQ,How to count to 1000 on two hands,2015-09-18 21:53:13+00:00,449912,1161
cyW5z-M2yzw,Music And Measure Theory,2015-10-04 02:14:13+00:00,1650257,1532
RU0wScIj36o,Fractal charm: Space filling curves,2016-01-17 01:43:18+00:00,2079921,984
Cld0p3a43fU,"The Brachistochrone, with Steven Strogatz",2016-04-01 20:27:08+00:00,1401939,1394
Iq1a_KJTWJ8,Snell&#39;s law proof using springs,2016-04-01 20:27:08+00:00,218195,240
sULa9Lc4pck,Triangle of Power,2016-06-26 05:51:12+00:00,805870,1572
kjBOesZCoqc,Essence of linear algebra preview,2016-08-05 01:01:44+00:00,2687836,1238
fNk_zzaMoSs,"Vectors | Chapter 1, Essence of linear algebra",2016-08-06 00:05:49+00:00,11472428,3819
k7RM-ot2NWY,"Linear combinations, span, and basis vectors | Chapter 2, Essence of linear algebra",2016-08-06 23:49:28+00:00,6992368,3021
kYB8IZa5AuE,"Linear transformations and matrices | Chapter 3, Essence of linear algebra",2016-08-07 21:39:19+00:00,6712424,4835
XkY2DOUCWMU,"Matrix multiplication as composition | Chapter 4, Essence of linear algebra",2016-08-08 22:20:43+00:00,4153805,3228
rHLEWRxRGiM,"Three-dimensional linear transformations | Chapter 5, Essence of linear algebra",2016-08-09 22:01:39+00:00,2555238,821
Ip3X9LOh2dk,"The determinant | Chapter 6, Essence of linear algebra",2016-08-10 22:31:18+00:00,4701082,4334
uQhTuRlWMxw,"Inverse matrices, column space and null space | Chapter 7, Essence of linear algebra",2016-08-15 22:00:22+00:00,3644958,2332
v8VSDg_WQlA,"Nonsquare matrices as transformations between dimensions | Chapter 8, Essence of linear algebra",2016-08-16 21:59:23+00:00,1953837,827
LyGKycYT2v0,"Dot products and duality | Chapter 9, Essence of linear algebra",2016-08-24 19:20:58+00:00,3178316,2402
eu6i7WJeinw,"Cross products | Chapter 10, Essence of linear algebra",2016-09-01 03:54:15+00:00,2312230,874
BaM7OCEm3G0,"Cross products in the light of linear transformations | Chapter 11, Essence of linear algebra",2016-09-01 03:54:15+00:00,1530739,1466
P2LTAUO1TdA,"Change of basis | Chapter 13, Essence of linear algebra",2016-09-11 17:56:20+00:00,2425999,1635
PFDu9oVAE-g,"Eigenvectors and eigenvalues | Chapter 14, Essence of linear algebra",2016-09-15 18:22:14+00:00,6036601,3593
TgKwz5Ikpc8,"Abstract vector spaces | Chapter 16, Essence of linear algebra",2016-09-24 19:29:09+00:00,1700011,3335
AmgkSdhK4K8,Who cares about topology?   (Old version),2016-11-04 21:48:23+00:00,3282185,3432
R7p-nPg8t_g,3blue1brown channel trailer,2016-11-25 17:29:36+00:00,408142,129
2SUvWfNJSsM,"Binary, Hanoi and Sierpinski, part 1",2016-11-25 17:30:20+00:00,758487,706
bdMfjfT0lKk,"Binary, Hanoi, and Sierpinski, part 2",2016-11-25 17:30:46+00:00,324124,626
sD0NjbwqlYw,But what is the Riemann zeta function? Visualizing analytic continuation,2016-12-09 17:50:56+00:00,5180286,4227
IxNb1WG_Ido,Tattoos on Math,2017-01-06 18:05:41+00:00,762212,984
gB9n2gHsHN4,Fractals are typically not self-similar,2017-01-27 17:29:08+00:00,4465666,4999
mvmuCPvRoWQ,Euler&#39;s formula with introductory group theory,2017-03-03 22:07:09+00:00,2681513,2393
WUvTyaaNkzM,The essence of calculus,2017-04-28 15:58:48+00:00,11072749,7545
9vKqVkMQHKk,"The paradox of the derivative | Chapter 2, Essence of calculus",2017-04-29 16:24:03+00:00,4283439,3913
S0_qX4VJhMQ,"Derivative formulas through geometry | Chapter 3, Essence of calculus",2017-04-30 15:24:09+00:00,3456765,3764
YG15m2VwSjA,"Visualizing the chain rule and product rule | Chapter 4, Essence of calculus",2017-05-01 15:19:28+00:00,2224719,1852
m2MIpDrF7Es,"What&#39;s so special about Euler&#39;s number e? | Chapter 5, Essence of calculus",2017-05-02 15:09:46+00:00,4986788,2678
qb40J4N1fa4,"Implicit differentiation, what&#39;s going on here? | Chapter 6, Essence of calculus",2017-05-03 15:38:43+00:00,2235127,1411
kfF40MiS7zA,"Limits, L&#39;Hôpital&#39;s rule, and epsilon delta definitions | Chapter 7, Essence of calculus",2017-05-04 15:05:18+00:00,2492721,1724
rfG8ce4nNh0,"Integration and the fundamental theorem of calculus | Chapter 8, Essence of calculus",2017-05-05 15:05:21+00:00,2936169,1592
FnJqaIESC2s,"What does area have to do with slope? | Chapter 9, Essence of calculus",2017-05-06 13:53:16+00:00,1642359,1021
BLkz5LGWihw,"Higher order derivatives | Chapter 10, Essence of calculus",2017-05-07 14:05:35+00:00,879157,448
3d6DsjIBzJ4,"Taylor series | Chapter 11, Essence of calculus",2017-05-07 14:06:12+00:00,4946094,4303
NaL_Cb42WyY,Pi hiding in prime regularities,2017-05-19 15:41:54+00:00,2787926,2365
QJYmyhnaaek,"All possible pythagorean triples, visualized",2017-05-26 17:58:15+00:00,4006967,3005
bBC-nXj3Ng4,But how does bitcoin actually work?,2017-07-07 16:51:37+00:00,17905452,24304
S9JGmA5_unY,How secure is 256 bit security?,2017-07-08 14:19:39+00:00,3606463,3390
3s7h2MHQtxc,Hilbert&#39;s Curve: Is infinite math useful?,2017-07-21 15:33:50+00:00,2397340,2065
zwAD6dRSVyI,Thinking outside the 10-dimensional box,2017-08-11 22:41:08+00:00,3135607,3533
MzRCDLre1b4,Some light quantum mechanics (with minutephysics),2017-09-13 14:06:26+00:00,2126816,1905
aircAruvnKk,But what is a neural network? | Deep learning chapter 1,2017-10-05 15:11:25+00:00,22854026,8885
IHZwWFHWa-w,"Gradient descent, how neural networks learn | Deep Learning Chapter 2",2017-10-16 16:48:20+00:00,9082746,3534
Ilg3gGewQ5U,"Backpropagation, intuitively | Deep Learning Chapter 3",2017-11-03 14:03:37+00:00,5936590,1751
tIeHLnjs5U8,Backpropagation calculus | Deep Learning Chapter 4,2017-11-03 14:08:09+00:00,3727501,2329
